feature,direction,threshold_low,threshold_high,sample_count,success_rate,average_forward_return,raw_bonus,normalized_bonus,confidence_class,active,version
downside_20pct,HIGH,-3.325,,14,57.14,3.64,2.79,2.79,DÜŞÜK,False,V30.0
upside_80pct,HIGH,2.845,,14,57.14,3.3,2.68,2.68,DÜŞÜK,False,V30.0
timing_confidence,LOW,,96.11,9,66.67,-2.77,2.67,2.67,DÜŞÜK,False,V30.0
expected_return,LOW,,3.235,9,66.67,-2.77,2.67,2.67,DÜŞÜK,False,V30.0
market_percentile,HIGH,94.12,,14,57.14,2.86,2.55,2.55,DÜŞÜK,False,V30.0
consensus_score,LOW,,48.11,14,57.14,2.8,2.53,2.53,DÜŞÜK,False,V30.0
timing_confidence,HIGH,86.36,,14,57.14,2.68,2.49,2.49,DÜŞÜK,False,V30.0
risk_score,HIGH,37.0,,14,50.0,4.75,2.18,2.18,DÜŞÜK,False,V30.0
ai_final_score,LOW,,59.84,14,42.86,3.98,1.94,1.94,DÜŞÜK,False,V30.0
v27_master_score,LOW,,38.85,14,42.86,3.74,1.87,1.87,DÜŞÜK,False,V30.0
v22_signal_score,LOW,,52.545,14,42.86,3.76,1.87,1.87,DÜŞÜK,False,V30.0
top_pick_score,LOW,,54.94,14,42.86,3.76,1.87,1.87,DÜŞÜK,False,V30.0
v24_score,LOW,,50.0,28,42.86,1.38,1.83,1.83,DÜŞÜK,False,V30.0
optimized_weight_pct,LOW,,0.0,28,42.86,1.38,1.83,1.83,DÜŞÜK,False,V30.0
optimizer_score,LOW,,0.0,28,42.86,1.38,1.83,1.83,DÜŞÜK,False,V30.0
quality_score,LOW,,50.0,28,42.86,1.38,1.83,1.83,DÜŞÜK,False,V30.0
rsi,LOW,,0.0,28,42.86,1.38,1.83,1.83,DÜŞÜK,False,V30.0
volume_ratio,LOW,,0.0,28,42.86,1.38,1.83,1.83,DÜŞÜK,False,V30.0
ema20_distance,LOW,,0.0,28,42.86,1.38,1.83,1.83,DÜŞÜK,False,V30.0
smart_money_score,LOW,,0.0,28,42.86,1.38,1.83,1.83,DÜŞÜK,False,V30.0
institutional_score,LOW,,0.0,28,42.86,1.38,1.83,1.83,DÜŞÜK,False,V30.0
historical_support_score,LOW,,0.0,28,42.86,1.38,1.83,1.83,DÜŞÜK,False,V30.0
