signal_date,recorded_at,symbol,signal_price,rank,smart_money_score,selection_score,classification,rsi,atr_pct,volume_ratio,volume_accumulation_ratio,up_down_volume_ratio,range_20_pct,close_position,upper_wick_ratio,distance_to_high_20,ema20_distance,return_1d,return_5d_at_signal,return_10d_at_signal,return_20d_at_signal,trend_score,volume_score,compression_score,candle_score,momentum_score,liquidity_score,risk_penalty,positive_reasons,risk_reasons,result_1d,result_3d,result_5d,result_10d,max_result_5d,min_result_5d,max_result_10d,min_result_10d,hit_3pct_5d,hit_5pct_10d,status
2026-07-16,2026-07-16 12:00:57,ESCAR,49.14,1,75,53.05,GÜÇLÜ ADAY,53.68,4.34,0.16,1.49,5.66,17.11,0.73,0.27,7.98,1.56,0.57,3.45,4.11,1.24,20,20,6,6,18,5,0,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | 10 günlük hacim birikimi güçlü | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Kontrollü bant %17.1 | RSI sağlıklı bölgede 53.7 | Erken momentum,Belirgin risk yok,,,,,,,,,,,bekliyor
2026-07-16,2026-07-16 12:00:57,POLHO,20.74,2,72,51.25,GÜÇLÜ ADAY,48.84,3.74,0.27,1.49,2.09,13.31,0.93,0.07,9.75,-0.76,0.78,-1.8,-1.33,0.29,14,20,10,10,15,3,0,Orta vadeli trend pozitif | EMA20 eğimi yukarı | 10 günlük hacim birikimi güçlü | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü sıkışma %13.3 | Güçlü kapanış | RSI sağlıklı bölgede 48.8,Belirgin risk yok,,,,,,,,,,,bekliyor
2026-07-16,2026-07-16 12:00:57,THYAO,328.5,3,72,51.1,GÜÇLÜ ADAY,51.35,2.8,0.28,1.24,1.91,10.58,0.65,0.35,7.59,-0.33,0.77,-1.05,0.0,2.1,14,17,15,6,15,5,0,Orta vadeli trend pozitif | EMA20 eğimi yukarı | Hacim birikimi var | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü sıkışma %10.6 | Volatilite daralıyor | RSI sağlıklı bölgede 51.3,Belirgin risk yok,,,,,,,,,,,bekliyor
2026-07-14,2026-07-14 11:41:51,ESCAR,48.94,1,75,53.1,GÜÇLÜ ADAY,52.79,4.56,0.1,1.37,5.73,17.11,0.8,0.2,8.35,1.29,0.91,-0.33,4.44,5.16,16,20,11,8,15,5,0,EMA20 üzerinde | Orta vadeli trend pozitif | 10 günlük hacim birikimi güçlü | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Kontrollü bant %17.1 | Volatilite daralıyor | Güçlü kapanış | RSI sağlıklı bölgede 52.8,Belirgin risk yok,0.41,,,,0.41,0.41,0.41,0.41,0.0,0.0,1g_güncellendi
2026-07-14,2026-07-15 12:01:17,RALYH,216.9,1,75,53.2,GÜÇLÜ ADAY,52.97,7.23,1.91,1.53,8.38,61.34,0.68,0.32,1.32,5.14,4.28,3.78,13.2,6.32,14,25,5,6,20,5,0,EMA20 üzerinde | EMA20 eğimi yukarı | Güçlü hacim 1.91x | 10 günlük hacim birikimi güçlü | Yükselen gün hacmi baskın | Volatilite daralıyor | RSI sağlıklı bölgede 53.0 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,7.05,,,,7.05,7.05,7.05,7.05,1.0,1.0,1g_güncellendi
2026-07-14,2026-07-14 11:41:51,ALKLC,385.0,2,73,51.05,GÜÇLÜ ADAY,67.8,4.07,0.11,1.27,2.07,20.29,0.88,0.12,3.08,7.31,0.85,1.58,14.16,11.92,20,12,6,10,20,5,0,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Hacim birikimi var | Yükselen gün hacmi baskın | Kontrollü bant %20.3 | Güçlü kapanış | RSI sağlıklı bölgede 67.8 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,2.92,,,,2.92,2.92,2.92,2.92,0.0,0.0,1g_güncellendi
2026-07-14,2026-07-15 12:01:17,BIMAS,384.5,2,75,53.05,GÜÇLÜ ADAY,56.82,2.9,1.23,1.18,1.62,12.46,1.0,0.0,3.33,2.83,2.74,2.74,5.27,-0.39,10,23,10,10,17,5,0,EMA20 üzerinde | EMA20 eğimi yukarı | Hacim ortalamanın üzerinde 1.23x | Hacim birikimi var | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü sıkışma %12.5 | Güçlü kapanış | RSI sağlıklı bölgede 56.8 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,2.47,,,,2.47,2.47,2.47,2.47,0.0,0.0,1g_güncellendi
2026-07-14,2026-07-14 11:41:51,EDIP,38.64,3,71,50.65,GÜÇLÜ ADAY,56.54,3.49,0.15,1.2,1.75,14.65,0.62,0.38,6.12,2.54,1.42,-2.52,4.72,7.1,20,17,10,6,15,3,0,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Hacim birikimi var | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü sıkışma %14.7 | RSI sağlıklı bölgede 56.5,Belirgin risk yok,-1.66,,,,-1.66,-1.66,-1.66,-1.66,0.0,0.0,1g_güncellendi
2026-07-14,2026-07-15 12:01:17,KRDMA,41.02,3,79,52.35,GÜÇLÜ ADAY,59.55,2.86,2.09,0.86,4.9,11.01,0.98,0.02,1.25,3.36,0.69,4.8,2.14,-0.97,20,17,10,10,17,5,0,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Güçlü hacim 2.09x | Yükselen gün hacmi baskın | Güçlü sıkışma %11.0 | Güçlü kapanış | RSI sağlıklı bölgede 59.5 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,1.27,,,,1.27,1.27,1.27,1.27,0.0,0.0,1g_güncellendi
2026-07-13,2026-07-13 12:58:44,LYDHO,186.2,1,73,52.1,GÜÇLÜ ADAY,50.72,3.42,0.36,1.41,2.0,13.22,0.66,0.34,5.86,0.47,0.59,-2.1,3.44,3.96,14,20,15,6,15,3,0,EMA20 üzerinde | EMA20 eğimi yukarı | 10 günlük hacim birikimi güçlü | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü sıkışma %13.2 | Volatilite daralıyor | RSI sağlıklı bölgede 50.7,Belirgin risk yok,-0.86,,,,-0.64,-0.86,-0.64,-0.86,0.0,0.0,1g_güncellendi
