signal_date,symbol,signal_price,return_1d,return_3d,return_5d,return_10d,max_return_10d,min_return_10d,status
2026-07-20,AKSUE,45.9,,,,,,,bekliyor
2026-07-20,ANHYT,103.2,,,,,,,bekliyor
2026-07-20,BESLR,13.57,,,,,,,bekliyor
2026-07-20,CRFSA,160.6,,,,,,,bekliyor
2026-07-20,DARDL,1.99,,,,,,,bekliyor
2026-07-20,DEVA,74.65,,,,,,,bekliyor
2026-07-20,KMPUR,19.78,,,,,,,bekliyor
2026-07-20,NUHCM,222.0,,,,,,,bekliyor
2026-07-20,PKART,144.3,,,,,,,bekliyor
2026-07-20,PNSUT,12.19,,,,,,,bekliyor
2026-07-17,BAKAB,53.9,-2.41,,,,-2.41,-2.41,1g_güncellendi
2026-07-17,BIMAS,384.5,3.58,,,,3.58,3.58,1g_güncellendi
2026-07-17,BSOKE,36.6,1.26,,,,1.26,1.26,1g_güncellendi
2026-07-17,CATES,45.8,-0.57,,,,-0.57,-0.57,1g_güncellendi
2026-07-17,DAGI,9.36,2.78,,,,2.78,2.78,1g_güncellendi
2026-07-17,DNISI,20.66,-1.45,,,,-1.45,-1.45,1g_güncellendi
2026-07-17,FRMPL,33.34,-2.76,,,,-2.76,-2.76,1g_güncellendi
2026-07-17,GATEG,304.0,2.3,,,,2.3,2.3,1g_güncellendi
2026-07-17,INFO,6.5,-5.08,,,,-5.08,-5.08,1g_güncellendi
2026-07-17,INTEK,280.25,1.87,,,,1.87,1.87,1g_güncellendi
2026-07-17,KCAER,13.53,1.77,,,,1.77,1.77,1g_güncellendi
2026-07-17,KOPOL,6.65,-1.35,,,,-1.35,-1.35,1g_güncellendi
2026-07-17,KRDMD,40.84,9.45,,,,9.45,9.45,1g_güncellendi
2026-07-17,LYDHO,189.8,-2.69,,,,-2.69,-2.69,1g_güncellendi
2026-07-17,MEYSU,13.34,-4.35,,,,-4.35,-4.35,1g_güncellendi
2026-07-17,OZYSR,14.17,-6.7,,,,-6.7,-6.7,1g_güncellendi
2026-07-17,PNLSN,46.9,2.43,,,,2.43,2.43,1g_güncellendi
2026-07-17,RALYH,216.9,11.89,,,,11.89,11.89,1g_güncellendi
2026-07-17,SNICA,3.99,-2.01,,,,-2.01,-2.01,1g_güncellendi
2026-07-17,SOHOE,13.18,-4.02,,,,-4.02,-4.02,1g_güncellendi
2026-07-16,AKFIS,97.75,-6.91,,,,-6.91,-7.88,1g_güncellendi
2026-07-16,ALARK,104.1,0.48,,,,5.38,0.48,1g_güncellendi
2026-07-16,ATATP,217.4,8.65,,,,11.22,8.65,1g_güncellendi
2026-07-16,AYGAZ,248.2,7.57,,,,10.29,7.57,1g_güncellendi
2026-07-16,BIMAS,384.5,0.39,,,,3.58,0.39,1g_güncellendi
2026-07-16,BRISA,80.9,1.36,,,,2.9,1.36,1g_güncellendi
2026-07-16,BSOKE,36.6,1.75,,,,1.75,1.26,1g_güncellendi
2026-07-16,BULGS,41.64,-1.68,,,,-1.68,-5.14,1g_güncellendi
2026-07-16,CATES,45.8,-1.7,,,,-0.57,-1.7,1g_güncellendi
2026-07-16,CCOLA,87.35,0.23,,,,2.63,0.23,1g_güncellendi
2026-07-16,CELHA,23.84,4.61,,,,5.2,4.61,1g_güncellendi
2026-07-16,DAGI,9.36,-2.67,,,,2.78,-2.67,1g_güncellendi
2026-07-16,ECZYT,340.25,-1.25,,,,-1.25,-4.78,1g_güncellendi
2026-07-16,EDIP,38.96,-0.92,,,,-0.92,-0.92,1g_güncellendi
2026-07-16,GATEG,304.0,1.97,,,,2.3,1.97,1g_güncellendi
2026-07-16,GIPTA,64.55,-4.57,,,,-4.18,-4.57,1g_güncellendi
2026-07-16,INTEK,280.25,1.52,,,,1.87,1.52,1g_güncellendi
2026-07-16,KBORU,27.02,-3.48,,,,-3.48,-4.44,1g_güncellendi
2026-07-16,KOPOL,6.65,-3.91,,,,-1.2,-3.91,1g_güncellendi
2026-07-16,KRDMD,40.84,4.7,,,,9.5,4.7,1g_güncellendi
2026-07-16,MANAS,32.26,6.14,,,,6.14,4.4,1g_güncellendi
2026-07-16,PCILT,34.54,-3.3,,,,-2.72,-3.3,1g_güncellendi
2026-07-16,PNLSN,46.9,-1.19,,,,2.43,-1.19,1g_güncellendi
2026-07-16,PRZMA,72.1,-3.4,,,,-0.28,-3.4,1g_güncellendi
2026-07-16,RALYH,216.9,12.13,,,,12.13,11.89,1g_güncellendi
2026-07-16,TEZOL,15.9,-0.19,,,,-0.19,-1.01,1g_güncellendi
2026-07-16,TGSAS,199.2,-8.84,,,,-7.38,-8.84,1g_güncellendi
2026-07-15,AKSEN,92.1,11.51,16.94,,,16.94,11.51,3g_güncellendi
2026-07-15,ALKLC,381.75,4.39,5.04,,,5.04,3.01,3g_güncellendi
2026-07-15,ARSAN,3.56,3.93,-0.0,,,3.93,-0.0,3g_güncellendi
2026-07-15,BRISA,80.7,1.18,3.16,,,3.16,1.18,3g_güncellendi
2026-07-15,DAGI,9.21,1.85,4.45,,,4.45,-1.09,3g_güncellendi
2026-07-15,EDIP,38.1,3.2,1.31,,,3.2,1.31,3g_güncellendi
2026-07-15,EGEPO,18.74,-0.27,3.63,,,5.5,-0.27,3g_güncellendi
2026-07-15,GATEG,302.0,1.99,2.98,,,2.98,1.99,3g_güncellendi
2026-07-15,PAGYO,163.0,-2.09,-4.91,,,-2.09,-4.91,3g_güncellendi
2026-07-15,SNICA,4.05,-1.23,-3.46,,,-1.23,-3.46,3g_güncellendi
2026-07-15,THYAO,333.5,-1.05,-2.25,,,-1.05,-2.25,3g_güncellendi
2026-07-15,VESTL,25.92,-0.62,-2.7,,,-0.62,-4.32,3g_güncellendi
2026-07-14,AGHOL,33.64,1.07,5.05,,,5.05,0.77,3g_güncellendi
2026-07-14,ALFAS,46.44,0.09,-0.95,,,0.09,-3.19,3g_güncellendi
2026-07-14,AYGAZ,246.0,3.56,11.28,,,11.28,3.56,3g_güncellendi
